
----------RESTART----------
[2025-05-02 09:26:07] [INFO] NODE_BECAME_VALIDATOR (dd00434caafdd5c6)
[2025-05-02 09:26:07] [INFO] VALIDATOR_ADDED_TO_LOCAL_SNAPSHOT (dd00434caafdd5c6)
[2025-05-02 09:26:07] [INFO] SELF_BECAME_LEAD_VALIDATOR (dd00434caafdd5c6)
[2025-05-02 09:26:07] [INFO] LEAD_VALIDATOR_CHANGED_ON_LOCAL_SNAPSHOT (dd00434caafdd5c6)
[2025-05-02 09:26:07] [INFO] SERVER_STARTED (0.0.0.0,8000)
[2025-05-02 09:26:15] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:16] [INFO] Listener message received from 127.0.0.1:8001
[2025-05-02 09:26:16] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] Listener message received from 127.0.0.1:8002
[2025-05-02 09:26:25] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:27] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:27] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:32] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:32] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:34] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:36] [INFO] Listener message received from 127.0.0.1:8003
[2025-05-02 09:26:36] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52469))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52450))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52458))
